engine,workload,durability,threads,n,qps_mean,qps_std,p50_mean,p50_std,p95_mean,p95_std,p99_mean,p99_std,max_mean,max_std,failures_total
sqlite,hot-row-update,strict,64,5,78.98463109699873,0.9006445604309233,5310.2,63.58616201658973,3092888.6,89122.12679688471,4707941.4,88638.4242459218,5042994.2,5340.530610342036,143
sqlite,hot-row-update,strict,128,5,78.31386749878538,0.7040520665798714,5291.0,31.368774282716306,3135487.0,85710.69627531912,4748901.4,83772.96373413081,5045451.8,4486.943191082406,445
sqlite,mixed50-read50-write,normal,1,5,506.25008825041687,203.7758802712545,546.4,337.22737136833956,2593.2,3607.792843276897,8173.6,12918.81832057406,27912.6,5647.270207808371,0
sqlite,mixed50-read50-write,normal,2,5,563.2796034892838,221.1822280755238,488.6,256.8546281459612,5025.0,5539.6765699813195,19653.4,12517.62967977564,99122.2,105702.44872849446,0
sqlite,mixed50-read50-write,normal,4,5,1050.9512634816083,316.154252108713,492.2,247.24421125680578,5299.4,3228.242370083138,19805.4,10066.416879903196,255570.2,111949.87586951582,0
sqlite,mixed50-read50-write,normal,8,5,2594.3275372866274,382.31449146532697,825.2,32.21335126931067,3793.0,806.4762860741783,11763.8,2934.90769871899,259826.2,98300.1290904544,0
sqlite,mixed50-read50-write,normal,16,5,17962.361746116872,7779.616839992025,205.6,381.4738523149391,3972.6,1591.2770971769812,12378.2,4604.924668222055,378520.6,50204.59593304182,0
sqlite,mixed50-read50-write,normal,32,5,27659.180939624766,965.5134745415202,30.4,0.8944271909999157,3236.2,16.887865466067637,18591.0,86.90224392960175,850584.6,409308.84051630256,0
sqlite,mixed50-read50-write,normal,64,5,28417.484271356127,253.9606558308252,31.0,0.0,3308.6,12.441864811996625,53624.6,14.310835055998755,1171352.6,208353.9319830562,0
sqlite,mixed50-read50-write,normal,128,5,26470.347217055853,374.8751927022776,33.2,0.44721359549995765,16546.2,4178.779151857633,93976.6,13490.541160383447,1633483.8,140292.48459985302,0
sqlite,mixed50-read50-write,strict,1,5,171.84580046109338,7.5032965173926,6430.2,5715.94149725135,11111.0,15.999999999999858,11274.2,20.861447696648383,36626.2,8736.7867777576,0
sqlite,mixed50-read50-write,strict,2,5,169.08044942075443,7.5648867767551895,8416.8,4647.912240995951,11138.2,26.892378102354456,12061.4,1108.9656441928216,1923685.4,218654.09441581464,0
sqlite,mixed50-read50-write,strict,4,5,159.28518675978552,11.75210596397911,8450.6,4701.920543777829,11159.0,57.13142742834295,101101.4,78273.14112005472,2187263.0,55163.09955033349,0
sqlite,mixed50-read50-write,strict,8,5,146.35740650077463,11.95489738736937,4259.0,5773.006885497366,11162.2,49.831716807671754,2266315.8,43986.73021719159,2628811.8,46557.66647073288,0
sqlite,mixed50-read50-write,strict,16,5,124.69127319147762,11.159246548848785,6062.6,5479.4476272704715,10655.0,365.7321424211986,2945023.0,100393.78721813415,3327999.0,83843.02895291895,0
sqlite,mixed50-read50-write,strict,32,5,117.58353448038247,15.163078344855206,1209.4,2210.2455293473618,1757171.8,990960.4383239525,4331519.0,149560.09906388802,4867685.4,95648.39718887085,0
sqlite,mixed50-read50-write,strict,64,5,162.31704509171848,8.013713382066307,1565.6,2050.261032161515,652882.2,464487.8139749201,4320459.8,90037.49647341378,5038079.0,5016.55499322002,120
sqlite,mixed50-read50-write,strict,128,5,171.96759075044906,3.8508517014747103,1244.2,390.02012768573877,1120357.4,230049.4114854459,4278271.0,85820.73073564448,5036440.6,6853.918937367195,413
sqlite,mixed80-read20-write,normal,1,5,244.4569011559451,206.08819793589308,312.8,256.7015777123312,3453.0,1461.397960858027,11841.4,6462.471106318387,269672.6,489073.8790947642,0
sqlite,mixed80-read20-write,normal,2,5,895.2063337756863,231.04162784273572,513.8,261.09615087166645,965.2,10.256705123966475,3857.2,1837.0765362390323,69330.2,46550.00085069816,0
sqlite,mixed80-read20-write,normal,4,5,1274.4769502930212,390.02528999232027,477.0,275.40061728325884,1409.8,978.0100715227835,7207.8,3064.6349211610836,501323.8,552949.3913797175,0
sqlite,mixed80-read20-write,normal,8,5,2888.8197972193075,479.80427681431865,709.6,170.6335254280354,1426.8,973.9287448268482,6639.0,1200.9263091464022,731762.2,571604.3017780745,0
sqlite,mixed80-read20-write,normal,16,5,12944.235208865939,5585.645183363323,175.6,118.17698591519417,2397.0,834.2047110871529,7894.2,4533.153780757939,365170.2,452451.9921176168,0
sqlite,mixed80-read20-write,normal,32,5,40221.489800066214,8458.065034242261,45.4,15.43696861433617,1498.8,279.75828852779324,15018.2,5827.217792394584,592280.6,88549.65619809034,0
sqlite,mixed80-read20-write,normal,64,5,53006.0304599736,759.3117355567657,29.2,0.44721359549995765,2991.8,512.5594599653781,24648.6,8097.664650996607,890776.6,152312.21223788985,0
sqlite,mixed80-read20-write,normal,128,5,48899.49336129832,839.8960121498257,34.0,0.7071067811865476,3387.0,20.049937655763426,53893.4,35.0542436803313,1391410.2,297001.8398111365,0
sqlite,mixed80-read20-write,strict,1,5,431.63656891071304,32.43115573274523,23.2,2.4899799195977463,11111.0,35.77708763999664,11370.2,47.5310424880414,45573.4,1197.202071498375,0
sqlite,mixed80-read20-write,strict,2,5,432.7341961575494,32.08297435788605,23.0,1.58113883008419,11115.8,25.043961347997424,11407.0,37.94733192202045,2027519.0,47530.59006576712,0
sqlite,mixed80-read20-write,strict,4,5,428.3539318528227,45.168188716126416,25.2,1.0954451150103324,11130.2,39.43602414037208,42693.4,55765.95044290019,2009291.8,319899.96004251076,0
sqlite,mixed80-read20-write,strict,8,5,380.548079930688,23.677801064751804,25.4,0.8944271909999161,11146.2,30.252272641902533,330392.6,219858.59181937829,2367896.6,106951.88576551611,0
sqlite,mixed80-read20-write,strict,16,5,295.3354444023556,27.292750984439106,15.4,5.941380311005179,10365.4,488.53740900774426,2386738.2,153754.2052602139,3284581.4,116981.86039211381,0
sqlite,mixed80-read20-write,strict,32,5,294.8179695523716,34.58255328178377,16.0,3.391164991562634,9176.6,1937.903196756742,3327589.4,164462.1786454259,4654693.4,6853.918937367109,0
sqlite,mixed80-read20-write,strict,64,5,408.2974053170586,11.65347372300844,23.8,4.08656334834051,5419.0,107.48023074035522,3049471.0,101907.29465548576,5040536.6,2243.4715955413094,85
sqlite,mixed80-read20-write,strict,128,5,434.092799939033,12.036458826364052,32.0,2.8284271247461903,18908.6,23051.20380370622,2911026.2,117126.98033843443,5038079.0,7094.480107802071,323
sqlite,mixed95-read5-write,normal,1,5,626.7125321110376,137.50426511488777,272.0,191.0706675552268,1546.4,1320.8110387182567,2407.2,3179.5871115602413,50501.4,32343.899282554044,0
sqlite,mixed95-read5-write,normal,2,5,1080.0639038889349,232.03066381588545,192.8,21.810547906918796,1565.6,1328.0057605296747,6142.8,3030.943780409,87813.4,49590.566328687964,0
sqlite,mixed95-read5-write,normal,4,5,2162.94361787027,386.5107632120259,204.4,0.8944271909999143,2114.4,1559.9505761401545,6401.4,2222.2035910330087,90629.4,42574.26768366075,0
sqlite,mixed95-read5-write,normal,8,5,4043.573779014348,427.96860288472385,218.6,22.040871126160148,2242.8,1344.701156391263,7495.8,1796.1122459356486,84523.8,35571.00194259363,0
sqlite,mixed95-read5-write,normal,16,5,11161.608136766105,2315.1871626628526,248.6,193.45231970695,1586.0,1287.4331050582784,3926.2,3736.678364537146,80389.4,39744.53075329988,0
sqlite,mixed95-read5-write,normal,32,5,33851.20846743298,14446.151703741805,128.2,32.736829412757736,1923.0,942.2175969488152,4985.8,2019.140213060995,134130.2,38030.068777218905,0
sqlite,mixed95-read5-write,normal,64,5,84864.77727938074,1720.3175143354306,109.0,2.8284271247461903,516.2,17.079227148791002,9021.4,47.12536472007414,974539.8,55203.003280618716,0
sqlite,mixed95-read5-write,normal,128,5,67409.74289880044,1234.8003859959824,165.0,1.581138830084193,987.4,23.54357661868732,21055.0,374.7212297161718,1579826.2,182696.350973959,0
sqlite,mixed95-read5-write,strict,1,5,1638.311775150732,131.6195195436854,21.8,1.30384048104053,7258.0,3973.734893019412,11176.6,77.02467137222996,63909.4,4966.158757027407,0
sqlite,mixed95-read5-write,strict,2,5,1563.9957713198194,154.3717042950258,20.2,3.3466401061363023,7441.6,4102.9440405640435,11290.2,44.757122338238055,1608395.8,535487.3352930021,0
sqlite,mixed95-read5-write,strict,4,5,1606.3786383950028,111.53615241029453,19.4,1.9493588689617924,5113.8,3990.6334334288335,11307.8,65.38501357344816,1964850.2,243589.77775596414,0
sqlite,mixed95-read5-write,strict,8,5,1667.7995248919724,124.17567721044773,17.2,1.3038404810405297,856.8,123.03129683133474,13149.4,3759.2356669940236,2129714.2,41773.67806645713,0
sqlite,mixed95-read5-write,strict,16,5,1517.835809172759,154.42868721280732,12.2,2.6832815729997477,2159.2,3833.652266442537,25627.8,34508.79243323359,2706635.8,279661.13034742605,0
sqlite,mixed95-read5-write,strict,32,5,1360.7431207315392,205.02291979147165,11.0,0.0,1788.6,1927.8247586334187,25999.0,23085.037231938786,3909631.0,182410.01516364174,0
sqlite,mixed95-read5-write,strict,64,5,1645.5380917630312,151.5265638160441,11.0,0.0,4109.0,1057.0222325003388,516863.0,164041.7757523979,4802968.6,328569.6722413679,3
